full_name,name,owner,url,stars,forks
"cesarhenrq/challenge-1-decentralized-staking","challenge-1-decentralized-staking","cesarhenrq","https://github.com/cesarhenrq/challenge-1-decentralized-staking",0,0
"derrekcoleman/vlaymen-nft-demo","vlaymen-nft-demo","derrekcoleman","https://github.com/derrekcoleman/vlaymen-nft-demo",0,0
"abrahem79/scaffold-eth-2","scaffold-eth-2","abrahem79","https://github.com/abrahem79/scaffold-eth-2",0,0
"siddhant-k08/over-collateralized-lending","over-collateralized-lending","siddhant-k08","https://github.com/siddhant-k08/over-collateralized-lending",0,0
"ethereum-r1/r1-landing","r1-landing","ethereum-r1","https://github.com/ethereum-r1/r1-landing",4,2
"siddhant-k08/balloon_dex","balloon_dex","siddhant-k08","https://github.com/siddhant-k08/balloon_dex",0,0
"MetisProtocol/metis-sdk","metis-sdk","MetisProtocol","https://github.com/MetisProtocol/metis-sdk",8,9
"ALMworld/dao_is_all_love_contract","dao_is_all_love_contract","ALMworld","https://github.com/ALMworld/dao_is_all_love_contract",0,0
"suarja/socios-dao","socios-dao","suarja","https://github.com/suarja/socios-dao",0,0
"leinadDebug/demo","demo","leinadDebug","https://github.com/leinadDebug/demo",0,0
"ayushmankoley/timeminer","timeminer","ayushmankoley","https://github.com/ayushmankoley/timeminer",0,0
"halveroglu/neptuneswap","neptuneswap","halveroglu","https://github.com/halveroglu/neptuneswap",0,0
"kmjones1979/matrix","matrix","kmjones1979","https://github.com/kmjones1979/matrix",0,0
"ojasarora77/volatility-game","volatility-game","ojasarora77","https://github.com/ojasarora77/volatility-game",0,0
"kmjones1979/food-truck-vibe-code","food-truck-vibe-code","kmjones1979","https://github.com/kmjones1979/food-truck-vibe-code",0,0
"phipsae/oxford-challenge","oxford-challenge","phipsae","https://github.com/phipsae/oxford-challenge",0,0
"jansorianowork/challenge-0-simple-nft","challenge-0-simple-nft","jansorianowork","https://github.com/jansorianowork/challenge-0-simple-nft",0,0
"kmjones1979/se2-graph-token-api","se2-graph-token-api","kmjones1979","https://github.com/kmjones1979/se2-graph-token-api",0,0
"jezzkenarv/MerkleProofVoting","MerkleProofVoting","jezzkenarv","https://github.com/jezzkenarv/MerkleProofVoting",0,0
"phipsae/illinois-challenge","illinois-challenge","phipsae","https://github.com/phipsae/illinois-challenge",0,0
"Buuh2511/zktls","zktls","Buuh2511","https://github.com/Buuh2511/zktls",0,0
"CYXCAT/info7500scaffold","info7500scaffold","CYXCAT","https://github.com/CYXCAT/info7500scaffold",0,0
"j6alvarez/ballot-factory-dapp","ballot-factory-dapp","j6alvarez","https://github.com/j6alvarez/ballot-factory-dapp",0,0
"BuidlGuidl/tour-prague","tour-prague","BuidlGuidl","https://github.com/BuidlGuidl/tour-prague",2,1
"Samuel1505/SVG-NFT","SVG-NFT","Samuel1505","https://github.com/Samuel1505/SVG-NFT",0,0
"Anindhiths/Overruled","Overruled","Anindhiths","https://github.com/Anindhiths/Overruled",0,0
"jeytuan/EVM_Encode_Team11","EVM_Encode_Team11","jeytuan","https://github.com/jeytuan/EVM_Encode_Team11",0,1
"huahuahua1223/Porcelain-painting","Porcelain-painting","huahuahua1223","https://github.com/huahuahua1223/Porcelain-painting",0,0
"spyros-zikos/web3certifier","web3certifier","spyros-zikos","https://github.com/spyros-zikos/web3certifier",0,0
"Web3-Certifier-Diplomatiki/Web3-Certifier","Web3-Certifier","Web3-Certifier-Diplomatiki","https://github.com/Web3-Certifier-Diplomatiki/Web3-Certifier",0,0
"renfengyi/plants-union-game-sol","plants-union-game-sol","renfengyi","https://github.com/renfengyi/plants-union-game-sol",0,3
"pawan5627/scaffold-eth","scaffold-eth","pawan5627","https://github.com/pawan5627/scaffold-eth",0,0
"praptinsanghavi/INFO-7500","INFO-7500","praptinsanghavi","https://github.com/praptinsanghavi/INFO-7500",0,0
"yasshh17/Homework_5","Homework_5","yasshh17","https://github.com/yasshh17/Homework_5",0,0
"Auguzcht/Thanksify-Sonic-Web3","Thanksify-Sonic-Web3","Auguzcht","https://github.com/Auguzcht/Thanksify-Sonic-Web3",0,0
"calvbore/hello-noir-solution","hello-noir-solution","calvbore","https://github.com/calvbore/hello-noir-solution",0,0
"hzh-chainlink/cyber-buddha","cyber-buddha","hzh-chainlink","https://github.com/hzh-chainlink/cyber-buddha",2,0
"KetanKambli18/Simple-NFT","Simple-NFT","KetanKambli18","https://github.com/KetanKambli18/Simple-NFT",0,0
"Mufthi-Alawdeen/Module-03","Module-03","Mufthi-Alawdeen","https://github.com/Mufthi-Alawdeen/Module-03",0,0
"sotoJ24/dev3pack-staking-challenge1","dev3pack-staking-challenge1","sotoJ24","https://github.com/sotoJ24/dev3pack-staking-challenge1",0,0
